,game,TAS_time(seconds),category,emulator
332,GB Kirby's Dream Land,524.65,Any%,VBA
333,NES R.C. Pro-Am,2346.22,all gold trophies,FCEUX
334,GBA Gunstar Super Heroes,1112.22,Any%,VBA
335,NES Mega Man 6,1809.7,Any%,FCEUX
336,GBA Metal Slug Advance,2330.38,100%,VBA
337,NES Power Blade,834.01,Any%,BizHawk
338,GBA Mega Man Zero 3,3767.71,100%,VBA
339,GBA Shaman King: Master of Spirits,,,
340,Genesis Ranger X,572.5,Any%,Gens
341,SNES Secret of Mana,495.5,game end glitch,BizHawk
342,Genesis Alien Soldier,1112.27,Any%,Gens
343,SNES Plok,1578.52,Any%,BizHawk
344,Wii The Conduit,2746.7,Any%,Dolphin
345,GBA Prince of Persia: The Sands of Time,4456.72,100%,BizHawk
346,DS Super Monkey Ball: Touch vohejnvehiufzjejnd Roll,1579.51,Challenge Mode,DeSmuME
347,DS Super Scribblenauts,3712.63,playaround,DeSmuME
348,NES Dragon Warrior II,2672.5,Any%,FCEUX
349,SNES Biker Mice from Mars,312.62,final round,snes9x
350,NES The Battle of Olympus,595.37,Any%,FCEUX
351,NES Darkwing Duck,755.66,"pacifist, no subweapons",FCEUX
352,SNES Umihara Kawase,106.42,Any%,snes9x
353,GB Super Mario Land,734.77,hard mode,VBA
354,SNES Mega Man X3,2536.24,100%,BizHawk
355,SNES Donkey Kong Country 3: Dixie Kong's Double Trouble!,6099.8,105%,snes9x
356,GBA Spider-Man 3,824.01,Any%,BizHawk
357,Genesis The Revenge of Shinobi,718.93,Any%,BizHawk
358,PSX Suikoden II,24517.71,best ending,BizHawk
359,NES The Blues Brothers,219.77,Any%,FCEUX
360,PSX Metal Gear Solid: VR Missions,5809.18,Any%,BizHawk
361,GC Crazy Taxi,362.76,Any%,Dolphin
362,PSX Crash Bandicoot,2179.85,Any%,PSXjin
363,GB Contra: The Alien Wars,471.44,pacifist,BizHawk
364,SNES Soul Blazer,5373.72,Any%,BizHawk
365,GC Tony Hawk's Pro Skater 3,517.63,All Goals and Golds,Dolphin
366,DS Mario vohejnvehiufzjejnd Luigi: Partners in Time,6776.29,Any%,DeSmuME
367,GBA Metal Slug Advance,2330.38,100%,VBA
368,GBA Sonic Advance,925.8,Amy,VBA
369,Genesis Aero the Acro-Bat 2,1390.64,Any%,BizHawk
370,Genesis Batman,641.88,Any%,BizHawk
371,DS Newer Super Mario Bros. DS,8140.51,100%,DeSmuME
372,PSX Mega Man X4,2190.1,Zero,PSXjin
373,NES Super Turrican,516.39,Any%,FCEUX
374,Uzebox Bugz,162.14,2 players,BizHawk
375,GBA Sonic Advance,925.8,Amy,VBA
