,game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher,TAS_time,emulator,time_difference,%_of_difference
28,Bugs Bunny in Double Trouble,Any%,Bugs Bunny in Double Trouble - Any%,2280.0,1996,25,1,Sega Genesis,,,,,665.77,,1614.23,70.79956140350878
29,Earnest Evans,Any%,Earnest Evans - Any%,513.0,1991,30,4,Sega Genesis,Platformer,,Wolf Team,Wolf Team,456.54,BizHawk,56.45999999999998,11.00584795321637
30,Super Castlevania IV,Any%,Super Castlevania IV - Any%,1885.0,1991,30,134,Super Nintendo,,,,,1778.08,snes9x,106.92000000000007,5.672148541114062
31,Flicky,Any%,Flicky - Any%,909.0,1991,30,11,GameCube,,,,,880.25,,28.75,3.162816281628163
32,Monkey Magic,Any%,Monkey Magic - Any%,4050.0,2000,21,1,PlayStation,,,,,2426.37,,1623.63,40.08962962962963
33,Sorcerer's Maze,Any%,Sorcerer's Maze - Any%,5187.0,1998,23,2,PlayStation 2,,,,,2702.23,,2484.77,47.903797956429536
34,Punky Skunk,Any%,Punky Skunk - Any%,3218.0,1996,25,5,PlayStation 2,Adventure Platformer,,Jaleco,,2853.37,,364.6300000000001,11.330950901180863
35,Donkey Kong Country 4,Any%,Donkey Kong Country 4 - Any%,874.0,1997,24,7,Nintendo Entertainment System,,,Hummer Team,,776.27,,97.73000000000002,11.181922196796341
36,Braid,Any%,Braid - Any%,1481.54,2008,13,53,PlayStation 3,Puzzle,,,,1179.58,,301.96000000000004,20.38149493095023
37,Tiny Toon Adventures,Any%,Tiny Toon Adventures - Any%,751.0,1991,30,36,Nintendo Entertainment System,,,,,659.88,BizHawk,91.12,12.133155792276964
38,Super Boy 4,Any%,Super Boy 4 - Any%,674.0,1992,29,5,,,,,,603.01,,70.99000000000001,10.532640949554898
39,Rocket: Robot on Wheels,100%,Rocket: Robot on Wheels - 100%,5229.0,1999,22,5,Nintendo 64,Platformer,,Sucker Punch Productions,Ubisoft,4492.8,,736.1999999999998,14.07917383820998
40,Karnov,Any%,Karnov - Any%,527.216,1987,34,48,Nintendo Entertainment System,,,,,518.91,,8.30600000000004,1.575445358259241
41,James Bond Jr.,Any%,James Bond Jr. - Any%,1291.0,1991,30,5,Nintendo Entertainment System,,,Eurocom,THQ,1109.84,,181.16000000000008,14.032532920216891
42,Arumana no Kiseki,Any%,Arumana no Kiseki - Any%,574.0,1987,34,2,Nintendo Entertainment System,,,Konami,Konami,483.6,FCEUX,90.39999999999998,15.749128919860624
43,Sword of Vermilion,Any%,Sword of Vermilion - Any%,8546.0,1989,32,2,Wii Virtual Console,Role-playing Game,,,,5603.86,,2942.1400000000003,34.42710039784695
44,Mouse Trap Hotel,Any%,Mouse Trap Hotel - Any%,1503.0,1992,29,2,Game Boy Player,Platformer,,Imagineering,Electro Brain,1395.81,,107.19000000000005,7.131736526946112
45,DK: King of Swing,Any%,DK: King of Swing - Any%,1133.0,2005,16,8,Game Boy Advance,,,,,1054.47,BizHawk,78.52999999999997,6.931156222418356
46,Paper Mario: The Thousand-Year Door,Any%,Paper Mario: The Thousand-Year Door - Any%,8322.0,2004,17,94,GameCube,RPG,,Intelligent Systems,Nintendo,6429.03,Dolphin,1892.9700000000003,22.746575342465757
47,Oddworld: Abe's Oddysee,100%,Oddworld: Abe's Oddysee - 100%,5356.401,1997,24,3,PlayStation,Platform,A.L.I.V.E,Oddworld Inhabitants,GT Interactive,3856.17,,1500.2309999999998,28.008190574230717
48,H.E.R.O.,Any%,H.E.R.O. - Any%,1181.0,1984,37,1,Commodore 64,,,,,607.03,,573.97,48.60033869602032
49,Kid Icarus,Any%,Kid Icarus - Any%,1258.0,1986,35,47,Nintendo Entertainment System,,,,,1166.41,FCEUX,91.58999999999992,7.280604133545304
50,Baba Is You,Any%,Baba Is You - Any%,295.81,2019,2,23,PC,Puzzle,,Hempuli,,168.7,,127.11000000000001,42.9701497582908
51,Shadow of the Ninja,Any%,Shadow of the Ninja - Any%,636.19,1991,30,24,Nintendo Entertainment System,,,,,570.41,,65.78000000000009,10.339678397962887
52,The Emperor's New Groove,Any%,The Emperor's New Groove - Any%,3701.0,2000,21,14,Dreamcast,,,,,453.91,,3247.09,87.73547689813564
53,Mechanized Attack,Any%,Mechanized Attack - Any%,756.0,1990,31,2,Nintendo Entertainment System,,,,,596.83,,159.16999999999996,21.0542328042328
