game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher
World of Illusion Starring Mickey Mouse and Donald Duck,Mickey,World of Illusion Starring Mickey Mouse and Donald Duck - Mickey,884.1,1992,29,56,Sega Genesis,Platformer,,SEGA,SEGA
World of Illusion Starring Mickey Mouse and Donald Duck,Donald,World of Illusion Starring Mickey Mouse and Donald Duck - Donald,965.33,1992,29,23,Sega Genesis,Platformer,,SEGA,SEGA
World of Illusion Starring Mickey Mouse and Donald Duck,Co-op,World of Illusion Starring Mickey Mouse and Donald Duck - Co-op,1158.8,1992,29,10,Sega Genesis,Platformer,,SEGA,SEGA
Claymates,Any% (Warps),Claymates - Any% (Warps),1010,1994,27,2,Super Nintendo,,,,
Claymates,Any% (Warpless),Claymates - Any% (Warpless),2118,1994,27,1,Super Nintendo,,,,
Archon: The Light and the Dark,Power Points Victory (NES),Archon: The Light and the Dark - Power Points Victory (NES),56,1983,38,24,Nintendo Entertainment System,,,,
Archon: The Light and the Dark,Army Victory (NES),Archon: The Light and the Dark - Army Victory (NES),361,1983,38,1,Nintendo Entertainment System,,,,
Archon: The Light and the Dark,Power Points Victory (C64),Archon: The Light and the Dark - Power Points Victory (C64),57,1983,38,1,Nintendo Entertainment System,,,,
Archon: The Light and the Dark,Army Victory (C64),Archon: The Light and the Dark - Army Victory (C64),57,1983,38,0,Nintendo Entertainment System,,,,
Might and Magic II: Gates to Another World,Any%,Might and Magic II: Gates to Another World - Any%,1027,1988,33,2,Super Nintendo,RPG,,New World Computing,Electronic Arts
Might and Magic II: Gates to Another World,Glitchless,Might and Magic II: Gates to Another World - Glitchless,1027,1988,33,0,Super Nintendo,RPG,,New World Computing,Electronic Arts
Antarctic Adventure,1 loop (NES),Antarctic Adventure - 1 loop (NES),710,1983,38,15,Nintendo Entertainment System,,,Konami,Konami
Mad Max (NES),any%,Mad Max (NES) - any%,1971,2020,1,1,Nintendo Entertainment System,,,,
Abadox,Any%,Abadox - Any%,917,1989,32,7,Nintendo Entertainment System,,,,
Spiritual Warfare,(NES) Any%,Spiritual Warfare - (NES) Any%,1950,1992,29,2,Nintendo Entertainment System,,,,
Spiritual Warfare,(NES) 100%,Spiritual Warfare - (NES) 100%,1950,1992,29,0,Nintendo Entertainment System,,,,
Spiritual Warfare,(GEN) Any%,Spiritual Warfare - (GEN) Any%,560,1992,29,2,Nintendo Entertainment System,,,,
Spiritual Warfare,(GEN) 100%,Spiritual Warfare - (GEN) 100%,2508,1992,29,1,Nintendo Entertainment System,,,,
Majou Densetsu II: Daimashikyou Galious,Any%,Majou Densetsu II: Daimashikyou Galious - Any%,3432,1987,34,1,Nintendo Entertainment System,,,,
Gumshoe,Beat the Game,Gumshoe - Beat the Game,606,1986,35,3,Nintendo Entertainment System,,,,
Rolo to the Rescue,Bad Ending,Rolo to the Rescue - Bad Ending,649,1992,29,4,Sega Genesis,Platformer,,Vectordean,Electronic Arts
Rolo to the Rescue,Good Ending,Rolo to the Rescue - Good Ending,649,1992,29,0,Sega Genesis,Platformer,,Vectordean,Electronic Arts
Heavy Shreddin',Any%,Heavy Shreddin' - Any%,1075,1990,31,1,Nintendo Entertainment System,,,,
Golgo 13: Top Secret Episode,Any%,Golgo 13: Top Secret Episode - Any%,3029,1988,33,2,Nintendo Entertainment System,,,,
Top Gun,Beat the game,Top Gun - Beat the game,1490,1987,34,3,Nintendo Entertainment System,Dogfight Simulator,,Konami,Konami
Top Gun,Deathless,Top Gun - Deathless,1490,1987,34,0,Nintendo Entertainment System,Dogfight Simulator,,Konami,Konami
Donkey Kong 3,Beat Level 3 (Game A),Donkey Kong 3 - Beat Level 3 (Game A),41.43,1986,35,72,Nintendo Entertainment System,,,,
Donkey Kong 3,Beat Level 10 (Game A),Donkey Kong 3 - Beat Level 10 (Game A),190,1986,35,8,Nintendo Entertainment System,,,,
The Uncanny X-Men,Any%,The Uncanny X-Men - Any%,359,1989,32,3,Nintendo Entertainment System,Action,,LJN,LJN
Where in Time is Carmen Sandiego?,Single Capture (PC/Apple ][),Where in Time is Carmen Sandiego? - Single Capture (PC/Apple ][),106,1989,32,1,Nintendo Entertainment System,Educational,,Brøderbund,Brøderbund
Where in Time is Carmen Sandiego?,Single Capture (NES),Where in Time is Carmen Sandiego? - Single Capture (NES),118,1989,32,4,Nintendo Entertainment System,Educational,,Brøderbund,Brøderbund
Mega Man Battle Chip Challenge,Any%,Mega Man Battle Chip Challenge - Any%,6321,2003,18,7,Game Boy Advance,RPG,,Capcom,Capcom
Mega Man Battle Chip Challenge,NG+,Mega Man Battle Chip Challenge - NG+,8979,2003,18,3,Game Boy Advance,RPG,,Capcom,Capcom
Back to the Future Part II and III,Any%,Back to the Future Part II and III - Any%,11088,1990,31,4,Nintendo Entertainment System,,,,
American Gladiators (NES),Any%,American Gladiators (NES) - Any%,1248.934,1991,30,3,Nintendo Entertainment System,,,,
Fire Pro Wrestling,Exhibition,Fire Pro Wrestling - Exhibition,1248.934,2001,20,0,Game Boy Advance,,,,
Fire Pro Wrestling,Tournament,Fire Pro Wrestling - Tournament,1248.934,2001,20,0,Game Boy Advance,,,,
Fire Pro Wrestling,Elimination Match,Fire Pro Wrestling - Elimination Match,1248.934,2001,20,0,Game Boy Advance,,,,
Air Fortress,Any% (Quest 1 only),Air Fortress - Any% (Quest 1 only),2652,1989,32,4,Nintendo Entertainment System,Platformer,,,
Air Fortress,Any% (Quest 1 & 2),Air Fortress - Any% (Quest 1 & 2),5420,1989,32,4,Nintendo Entertainment System,Platformer,,,
Clu Clu Land,Low%,Clu Clu Land - Low%,238,1984,37,8,Nintendo Entertainment System,,,,
Clu Clu Land,100%,Clu Clu Land - 100%,872,1984,37,1,Nintendo Entertainment System,,,,
Clu Clu Land,Low% - 2 players,Clu Clu Land - Low% - 2 players,872,1984,37,0,Nintendo Entertainment System,,,,
Clu Clu Land,100% - 2 players,Clu Clu Land - 100% - 2 players,872,1984,37,0,Nintendo Entertainment System,,,,
Fire 'n Ice,Any% (US),Fire 'n Ice - Any% (US),3805,1993,28,2,Nintendo Entertainment System,,,,
Yie Ar Kung-Fu,1 loop,Yie Ar Kung-Fu - 1 loop,111.53,1985,36,11,Nintendo Entertainment System,Fighting,,Konami,Konami
Yie Ar Kung-Fu,1 loop (Arcade),Yie Ar Kung-Fu - 1 loop (Arcade),419.7,1985,36,1,Nintendo Entertainment System,Fighting,,Konami,Konami
Yie Ar Kung-Fu,1 loop (GBC),Yie Ar Kung-Fu - 1 loop (GBC),419.7,1985,36,0,Nintendo Entertainment System,Fighting,,Konami,Konami
Zillion,"Glitchless, Bad Ending","Zillion - Glitchless, Bad Ending",1354,1987,34,2,Sega Master System,Platform/Adventure,,SEGA,SEGA
Gain Ground,Genesis,Gain Ground - Genesis,22,1988,33,6,Wii Virtual Console,,,,
Crayon Shin-Chan 4: Ora no Itazura Dai Henshin,Any%,Crayon Shin-Chan 4: Ora no Itazura Dai Henshin - Any%,429,1994,27,15,Super Game Boy,,,,
Gyromite,Game A - Phases 1-40,Gyromite - Game A - Phases 1-40,1496,1985,36,6,Nintendo Entertainment System,,,,
Gyromite,Game B - R.O.B. the Robot%,Gyromite - Game B - R.O.B. the Robot%,1757,1985,36,1,Nintendo Entertainment System,,,,
Mario & Luigi (MS-DOS),Normal Mode,Mario & Luigi (MS-DOS) - Normal Mode,209.38,1994,27,6,MS-DOS,plataform,,,
Princess Tomato in the Salad Kingdom,Beat the Game,Princess Tomato in the Salad Kingdom - Beat the Game,2389,1988,33,3,Nintendo Entertainment System,Point-and-click,,Hudson Soft,Hudson Soft
Terminator 2: Judgment Day (GB),Any%,Terminator 2: Judgment Day (GB) - Any%,454.633,1992,29,8,Game Boy Color,Platformer,,BITS,LJN Ltd.
Silver Surfer,Any%,Silver Surfer - Any%,1752,1990,31,14,Nintendo Entertainment System,,,,
Mega Man 2: The Power Fighters,Solo,Mega Man 2: The Power Fighters - Solo,295,1996,25,15,GameCube,Fighting,,Capcom,Capcom
Mega Man 2: The Power Fighters,Co-Op,Mega Man 2: The Power Fighters - Co-Op,547,1996,25,5,GameCube,Fighting,,Capcom,Capcom
Mega Man X4,Zero 100%,Mega Man X4 - Zero 100%,2526,1997,24,73,GameCube,Platformer,,Capcom,Capcom
Mega Man X4,X 100%,Mega Man X4 - X 100%,2672,1997,24,35,GameCube,Platformer,,Capcom,Capcom
Mega Man X4,Zero Any%,Mega Man X4 - Zero Any%,2522,1997,24,7,GameCube,Platformer,,Capcom,Capcom
Mega Man X4,X Any%,Mega Man X4 - X Any%,3141,1997,24,3,GameCube,Platformer,,Capcom,Capcom
Mega Man X4,X Low%,Mega Man X4 - X Low%,3213,1997,24,2,GameCube,Platformer,,Capcom,Capcom
The Wild Eternal,Die from death,The Wild Eternal - Die from death,1059,2017,4,2,,,,,
Battletoads in Battlemaniacs,Pimple,Battletoads in Battlemaniacs - Pimple,1175.27,1993,28,12,Super Nintendo,,,,
Battletoads in Battlemaniacs,Rash,Battletoads in Battlemaniacs - Rash,1157,1993,28,12,Super Nintendo,,,,
Battletoads in Battlemaniacs,Co-op A,Battletoads in Battlemaniacs - Co-op A,1128,1993,28,1,Super Nintendo,,,,
Battletoads in Battlemaniacs,Co-op B,Battletoads in Battlemaniacs - Co-op B,1224,1993,28,2,Super Nintendo,,,,
Chuck Rock II: Son of Chuck,Genesis Easy,Chuck Rock II: Son of Chuck - Genesis Easy,1297,1993,28,3,Sega Genesis,2D Platformer,,Core Design,Virgin Interactive
Chuck Rock II: Son of Chuck,Genesis Normal,Chuck Rock II: Son of Chuck - Genesis Normal,1307,1993,28,1,Sega Genesis,2D Platformer,,Core Design,Virgin Interactive
Chuck Rock II: Son of Chuck,Sega CD Normal,Chuck Rock II: Son of Chuck - Sega CD Normal,1401,1993,28,1,Sega Genesis,2D Platformer,,Core Design,Virgin Interactive
Chuck Rock II: Son of Chuck,Sega CD Hard,Chuck Rock II: Son of Chuck - Sega CD Hard,1401,1993,28,0,Sega Genesis,2D Platformer,,Core Design,Virgin Interactive
Chuck Rock II: Son of Chuck,Master System Easy,Chuck Rock II: Son of Chuck - Master System Easy,1575,1993,28,1,Sega Genesis,2D Platformer,,Core Design,Virgin Interactive
Chuck Rock II: Son of Chuck,Master System Normal,Chuck Rock II: Son of Chuck - Master System Normal,1575,1993,28,0,Sega Genesis,2D Platformer,,Core Design,Virgin Interactive
Chuck Rock II: Son of Chuck,Master System Hard,Chuck Rock II: Son of Chuck - Master System Hard,1575,1993,28,0,Sega Genesis,2D Platformer,,Core Design,Virgin Interactive
Pandemonium!,Any%,Pandemonium! - Any%,2127,1996,25,4,Sega Saturn,,,,
Pandemonium!,Any% PS2 (FDS),Pandemonium! - Any% PS2 (FDS),2127,1996,25,0,Sega Saturn,,,,
Pandemonium!,Fargus%,Pandemonium! - Fargus%,2537,1996,25,1,Sega Saturn,,,,
Pandemonium!,Any% (Invincibility cheat),Pandemonium! - Any% (Invincibility cheat),3386,1996,25,1,Sega Saturn,,,,
Final Fantasy Adventure,Any% Warpless,Final Fantasy Adventure - Any% Warpless,7038,1991,30,10,Game Boy Color,,,,
Final Fantasy Adventure,Any%,Final Fantasy Adventure - Any%,1953,1991,30,14,Game Boy Color,,,,
Final Fantasy Adventure,J-Any% Warpless,Final Fantasy Adventure - J-Any% Warpless,7303,1991,30,2,Game Boy Color,,,,
Final Fantasy Adventure,J-Any%,Final Fantasy Adventure - J-Any%,7303,1991,30,0,Game Boy Color,,,,
Ninja Crusaders,Any%,Ninja Crusaders - Any%,284.969,1990,31,34,Nintendo Entertainment System,,,,
Ninja Crusaders,2 Player Coop,Ninja Crusaders - 2 Player Coop,326,1990,31,1,Nintendo Entertainment System,,,,
Ninja Crusaders,Pacifist,Ninja Crusaders - Pacifist,297,1990,31,2,Nintendo Entertainment System,,,,
Uninvited,Any%,Uninvited - Any%,650.68,1989,32,21,Nintendo Entertainment System,,,,
Lethal Weapon,Any%,Lethal Weapon - Any%,1672,1993,28,3,Nintendo Entertainment System,Action,,Eurocom,Ocean Software
Mighty Morphin Power Rangers (GB),Normal,Mighty Morphin Power Rangers (GB) - Normal,760,1994,27,2,Game Boy Color,,,,
Mighty Morphin Power Rangers (GB),Hard,Mighty Morphin Power Rangers (GB) - Hard,760,1994,27,0,Game Boy Color,,,,
Astyanax,Any%,Astyanax - Any%,950,1989,32,19,Nintendo Entertainment System,,,,
Bio Force Ape,any%,Bio Force Ape - any%,293,1991,30,5,Nintendo Entertainment System,,,,
Killer Instinct,SNES,Killer Instinct - SNES,474,1994,27,24,Super Nintendo,Fighting,Ultra 64,Rare,Midway Games
Killer Instinct,Arcade,Killer Instinct - Arcade,344,1994,27,8,Super Nintendo,Fighting,Ultra 64,Rare,Midway Games
Killer Instinct,GB,Killer Instinct - GB,285.39,1994,27,5,Super Nintendo,Fighting,Ultra 64,Rare,Midway Games
Killer Instinct,XboxOne,Killer Instinct - XboxOne,344,1994,27,1,Super Nintendo,Fighting,Ultra 64,Rare,Midway Games
X2: Wolverine's Revenge,Any% (GBA),X2: Wolverine's Revenge - Any% (GBA),1189.779,2003,18,1,GameCube,,,GenePool Software,Activision
X2: Wolverine's Revenge,Any% (console),X2: Wolverine's Revenge - Any% (console),1189.779,2003,18,0,GameCube,,,GenePool Software,Activision
X2: Wolverine's Revenge,New Game + (GBA),X2: Wolverine's Revenge - New Game + (GBA),1189.779,2003,18,0,GameCube,,,GenePool Software,Activision
Tetris DX,40 line mode,Tetris DX - 40 line mode,0,1998,23,82,Game Boy Color,,,,
Tetris DX,100 lines,Tetris DX - 100 lines,196,1998,23,5,Game Boy Color,,,,
Tetris DX,100 lines from level 0,Tetris DX - 100 lines from level 0,196,1998,23,6,Game Boy Color,,,,
Ultimate Marvel vs. Capcom 3,Arcade,Ultimate Marvel vs. Capcom 3 - Arcade,229,2011,10,35,PlayStation 3,Fighting,MT Framework,Capcom,Capcom
Ultimate Marvel vs. Capcom 3,Galactus Arcade,Ultimate Marvel vs. Capcom 3 - Galactus Arcade,222,2011,10,8,PlayStation 3,Fighting,MT Framework,Capcom,Capcom
Maniac Mansion,Any% - Lab Door Mod,Maniac Mansion - Any% - Lab Door Mod,283,1987,34,7,MS-DOS,Point-and-click,,,
Maniac Mansion,Any% - No Lab Door Mod,Maniac Mansion - Any% - No Lab Door Mod,880,1987,34,1,MS-DOS,Point-and-click,,,
Mario Adventure,0 Star,Mario Adventure - 0 Star,257.3,2017,4,2,Nintendo 64,,,,
Mario Adventure,50 Star,Mario Adventure - 50 Star,1962,2017,4,4,Nintendo 64,,,,
Mario Adventure,70 Star,Mario Adventure - 70 Star,3506,2017,4,1,Nintendo 64,,,,
Mario Adventure,130 Star,Mario Adventure - 130 Star,8954,2017,4,1,Nintendo 64,,,,
Super Mario Land,Any%,Super Mario Land - Any%,744.467,1989,32,135,Nintendo 3DS Virtual Console,,,,
Super Mario Land,Normal + Hard Mode,Super Mario Land - Normal + Hard Mode,1639,1989,32,13,Nintendo 3DS Virtual Console,,,,
Barbie in The 12 Dancing Princesses,GBA Any% Easy,Barbie in The 12 Dancing Princesses - GBA Any% Easy,1685,2006,15,7,Game Boy Advance,,,,
Barbie in The 12 Dancing Princesses,GBA Any% Normal,Barbie in The 12 Dancing Princesses - GBA Any% Normal,2008,2006,15,2,Game Boy Advance,,,,
Barbie in The 12 Dancing Princesses,Ps2,Barbie in The 12 Dancing Princesses - Ps2,3996,2006,15,7,Game Boy Advance,,,,
Barbie in The 12 Dancing Princesses,PC,Barbie in The 12 Dancing Princesses - PC,3452,2006,15,3,Game Boy Advance,,,,
Barbie in The 12 Dancing Princesses,Ds,Barbie in The 12 Dancing Princesses - Ds,3452,2006,15,0,Game Boy Advance,,,,
Streets of Rage 2,Blaze,Streets of Rage 2 - Blaze,1103,1992,29,35,Sega Genesis,Beat 'em up,,,SEGA
High Seas Havoc,Any% NTSC,High Seas Havoc - Any% NTSC,349,1993,28,13,Sega Genesis,Action,,Data East,Data East
High Seas Havoc,Any% PAL,High Seas Havoc - Any% PAL,416,1993,28,1,Sega Genesis,Action,,Data East,Data East
Clash at Demonhead,Any%,Clash at Demonhead - Any%,1208,1989,32,3,Nintendo Entertainment System,Action,,Vic Tokai,Vic Tokai
A Week of Garfield,Beat the game,A Week of Garfield - Beat the game,520,1989,32,8,Nintendo Entertainment System,,,,
Batman Forever,Any%,Batman Forever - Any%,1522,1995,26,6,Super Nintendo,Beat 'em up,,Probe Entertainment,Acclaim
Gradius,Any%,Gradius - Any%,664.833,1986,35,14,Nintendo Entertainment System,,,,
Gradius,All Levels,Gradius - All Levels,910.733,1986,35,10,Nintendo Entertainment System,,,,
Marvel Super Heroes vs. Street Fighter,Arcade,Marvel Super Heroes vs. Street Fighter - Arcade,390,1997,24,10,Sega Saturn,,,,
Marvel Super Heroes vs. Street Fighter,Playstation,Marvel Super Heroes vs. Street Fighter - Playstation,653,1997,24,2,Sega Saturn,,,,
Marvel Super Heroes vs. Street Fighter,Saturn,Marvel Super Heroes vs. Street Fighter - Saturn,653,1997,24,0,Sega Saturn,,,,
Croc: Legend of the Gobbos,Any%,Croc: Legend of the Gobbos - Any%,1930,1997,24,35,Sega Saturn,,,,
Croc: Legend of the Gobbos,Any% Hoverless,Croc: Legend of the Gobbos - Any% Hoverless,1995,1997,24,19,Sega Saturn,,,,
Croc: Legend of the Gobbos,100%,Croc: Legend of the Gobbos - 100%,4805,1997,24,11,Sega Saturn,,,,
Croc: Legend of the Gobbos,100% GD,Croc: Legend of the Gobbos - 100% GD,4660,1997,24,3,Sega Saturn,,,,
Low G Man: The Low Gravity Man,Any%,Low G Man: The Low Gravity Man - Any%,774,1990,31,4,Nintendo Entertainment System,,,,
Einhänder,Any%,Einhänder - Any%,1979,1997,24,2,PlayStation 2,Shoot 'em up,,Squaresoft,Square
Einhänder,All S. Bonuses,Einhänder - All S. Bonuses,1979,1997,24,0,PlayStation 2,Shoot 'em up,,Squaresoft,Square
Final Fantasy VIII,PSX Disc,Final Fantasy VIII - PSX Disc,29774,1999,22,49,PlayStation 2,,,,
Final Fantasy VIII,PC,Final Fantasy VIII - PC,26935,1999,22,15,PlayStation 2,,,,
Final Fantasy VIII,PC (Windows 7),Final Fantasy VIII - PC (Windows 7),8075,1999,22,99,PlayStation 2,,,,
Final Fantasy VIII,HD (PC),Final Fantasy VIII - HD (PC),11717,1999,22,9,PlayStation 2,,,,
Final Fantasy VIII,HD (Console),Final Fantasy VIII - HD (Console),13282,1999,22,8,PlayStation 2,,,,
Final Fantasy VIII,PSX Digital,Final Fantasy VIII - PSX Digital,33109,1999,22,4,PlayStation 2,,,,
Sonic Colors,Egg Shuttle,Sonic Colors - Egg Shuttle,2418.21,2010,11,35,Wii,Action,PhysX,Sonic Team,SEGA
Sonic Colors,Any%,Sonic Colors - Any%,3356,2010,11,17,Wii,Action,PhysX,Sonic Team,SEGA
Sonic Colors,All Chaos Emeralds,Sonic Colors - All Chaos Emeralds,6717,2010,11,4,Wii,Action,PhysX,Sonic Team,SEGA
Dragon EGG!,Any%,Dragon EGG! - Any%,516,1991,30,6,TurboGrafx-16/PC Engine,,,,
Alex Kidd in the Enchanted Castle,Any%,Alex Kidd in the Enchanted Castle - Any%,375,1989,32,8,Wii Virtual Console,Platformer,,SEGA,SEGA
Alex Kidd in the Enchanted Castle,Any% - No Bike,Alex Kidd in the Enchanted Castle - Any% - No Bike,531,1989,32,3,Wii Virtual Console,Platformer,,SEGA,SEGA
Naruto: Ninja Council,Any% - Sasuke,Naruto: Ninja Council - Any% - Sasuke,841,2006,15,7,Game Boy Advance,,,,
Naruto: Ninja Council,Any% - Naruto,Naruto: Ninja Council - Any% - Naruto,1265,2006,15,3,Game Boy Advance,,,,
Naruto: Ninja Council,Any% - Kakashi,Naruto: Ninja Council - Any% - Kakashi,1001,2006,15,3,Game Boy Advance,,,,
Clue (1998),Any%,Clue (1998) - Any%,0.583,1998,23,5,PC,Board Game,,Engineering Animation,Hasbro Interactive
Clue (1998),Computer%,Clue (1998) - Computer%,33.6,1998,23,3,PC,Board Game,,Engineering Animation,Hasbro Interactive
Vectorman 2,Cool,Vectorman 2 - Cool,616,1996,25,6,GameCube,Action,,BlueSky Software,SEGA
Vectorman 2,Wicked,Vectorman 2 - Wicked,670,1996,25,1,GameCube,Action,,BlueSky Software,SEGA
Vectorman 2,Lame,Vectorman 2 - Lame,593,1996,25,3,GameCube,Action,,BlueSky Software,SEGA
Wizardry: Proving Grounds of the Mad Overlord,Any% (Apple ][),Wizardry: Proving Grounds of the Mad Overlord - Any% (Apple ][),157,1981,40,3,Nintendo Entertainment System,RPG,,,
Wizardry: Proving Grounds of the Mad Overlord,Glitchless,Wizardry: Proving Grounds of the Mad Overlord - Glitchless,773,1981,40,8,Nintendo Entertainment System,RPG,,,
Wizardry: Proving Grounds of the Mad Overlord,Glitchless (No Haman),Wizardry: Proving Grounds of the Mad Overlord - Glitchless (No Haman),2334,1981,40,1,Nintendo Entertainment System,RPG,,,
Wizardry: Proving Grounds of the Mad Overlord,Glitchless (No Haman) NES,Wizardry: Proving Grounds of the Mad Overlord - Glitchless (No Haman) NES,1769,1981,40,2,Nintendo Entertainment System,RPG,,,
Street Fighter Alpha 3,Arcade,Street Fighter Alpha 3 - Arcade,27,1998,23,12,Dreamcast,Fighting,,Capcom,Capcom
Street Fighter Alpha 3,30th Anniversary,Street Fighter Alpha 3 - 30th Anniversary,376,1998,23,3,Dreamcast,Fighting,,Capcom,Capcom
Street Fighter Alpha 3,Playstation,Street Fighter Alpha 3 - Playstation,684,1998,23,9,Dreamcast,Fighting,,Capcom,Capcom
Street Fighter Alpha 3,Saturn,Street Fighter Alpha 3 - Saturn,1048,1998,23,1,Dreamcast,Fighting,,Capcom,Capcom
Street Fighter Alpha 3,PS2,Street Fighter Alpha 3 - PS2,669,1998,23,1,Dreamcast,Fighting,,Capcom,Capcom
Street Fighter Alpha 3,Dreamcast,Street Fighter Alpha 3 - Dreamcast,763,1998,23,3,Dreamcast,Fighting,,Capcom,Capcom
Street Fighter Alpha 3,GBA,Street Fighter Alpha 3 - GBA,524,1998,23,1,Dreamcast,Fighting,,Capcom,Capcom
Street Fighter Alpha 3,PSP,Street Fighter Alpha 3 - PSP,760,1998,23,2,Dreamcast,Fighting,,Capcom,Capcom
Crystalis,Any% No Wild Warp,Crystalis - Any% No Wild Warp,3173,1990,31,14,Nintendo Entertainment System,,,,
Crystalis,100% No Wild Warp,Crystalis - 100% No Wild Warp,3836,1990,31,2,Nintendo Entertainment System,,,,
Crystalis,Any%,Crystalis - Any%,2983,1990,31,1,Nintendo Entertainment System,,,,
Zanac,Any%,Zanac - Any%,2290,1986,35,3,Nintendo Entertainment System,Shoot 'em up,,Compile,FCI
Kickle Cubicle,Any%,Kickle Cubicle - Any%,2562,1990,31,10,Nintendo Entertainment System,,,,
Kickle Cubicle,Full Game,Kickle Cubicle - Full Game,4171,1990,31,2,Nintendo Entertainment System,,,,
Kickle Cubicle,Any% (J),Kickle Cubicle - Any% (J),2486,1990,31,1,Nintendo Entertainment System,,,,
Chameleon Twist 2,Any%,Chameleon Twist 2 - Any%,1497,1998,23,13,Nintendo 64,3D Platformer,,Japan System Supply,Sunsoft
Chameleon Twist 2,100% (JP),Chameleon Twist 2 - 100% (JP),2151,1998,23,5,Nintendo 64,3D Platformer,,Japan System Supply,Sunsoft
Chameleon Twist 2,100% (US),Chameleon Twist 2 - 100% (US),3088,1998,23,1,Nintendo 64,3D Platformer,,Japan System Supply,Sunsoft
Amagon,Any%,Amagon - Any%,1129,1988,33,5,Nintendo Entertainment System,,,,
Amagon,No Megagon,Amagon - No Megagon,1425,1988,33,1,Nintendo Entertainment System,,,,
Skyblazer,Any%,Skyblazer - Any%,1508,1994,27,28,Super Nintendo,,,,
Yoshi's Story,Any%,Yoshi's Story - Any%,659.3,1997,24,72,Nintendo 64,Platformer,,Nintendo,Nintendo
Yoshi's Story,All Levels,Yoshi's Story - All Levels,3499,1997,24,6,Nintendo 64,Platformer,,Nintendo,Nintendo
Yoshi's Story,All Melons 1-Lap,Yoshi's Story - All Melons 1-Lap,1167,1997,24,16,Nintendo 64,Platformer,,Nintendo,Nintendo
Yoshi's Story,All Melons,Yoshi's Story - All Melons,6342,1997,24,4,Nintendo 64,Platformer,,Nintendo,Nintendo
Snake's Revenge,Any%,Snake's Revenge - Any%,2538,1990,31,6,Nintendo Entertainment System,,,,
The King Of Fighters 2001,Team Play,The King Of Fighters 2001 - Team Play,477,2001,20,5,Dreamcast,,,,
Shining Soul,Any% Normal,Shining Soul - Any% Normal,8736,2002,19,2,Game Boy Advance,Action RPG,,Nextech,Atlus
Shining Soul,Any% Advanced,Shining Soul - Any% Advanced,8736,2002,19,0,Game Boy Advance,Action RPG,,Nextech,Atlus
The SpongeBob SquarePants Movie,No Pause Storage,The SpongeBob SquarePants Movie - No Pause Storage,3989,2004,17,58,GameCube,Platformer,Renderware,Heavy Iron Studios,THQ
The SpongeBob SquarePants Movie,All Tokens,The SpongeBob SquarePants Movie - All Tokens,8660,2004,17,8,GameCube,Platformer,Renderware,Heavy Iron Studios,THQ
The SpongeBob SquarePants Movie,No Mindy Skip,The SpongeBob SquarePants Movie - No Mindy Skip,5080,2004,17,116,GameCube,Platformer,Renderware,Heavy Iron Studios,THQ
The SpongeBob SquarePants Movie,100%,The SpongeBob SquarePants Movie - 100%,9166,2004,17,12,GameCube,Platformer,Renderware,Heavy Iron Studios,THQ
The SpongeBob SquarePants Movie,All Extras,The SpongeBob SquarePants Movie - All Extras,4696,2004,17,9,GameCube,Platformer,Renderware,Heavy Iron Studios,THQ
The SpongeBob SquarePants Movie,Any%,The SpongeBob SquarePants Movie - Any%,2080,2004,17,5,GameCube,Platformer,Renderware,Heavy Iron Studios,THQ
Fire Emblem: The Sacred Stones,Ephraim Route,Fire Emblem: The Sacred Stones - Ephraim Route,3786,2005,16,3,Game Boy Advance,,,,
Fire Emblem: The Sacred Stones,Eirika Route,Fire Emblem: The Sacred Stones - Eirika Route,3910,2005,16,4,Game Boy Advance,,,,
Dragon Quest V (PS2),Any% No Major Glitches,Dragon Quest V (PS2) - Any% No Major Glitches,20801,2004,17,3,PlayStation 2,RPG,,Matrix Software,Square Enix
Dragon Quest V (PS2),Any%,Dragon Quest V (PS2) - Any%,2189,2004,17,4,PlayStation 2,RPG,,Matrix Software,Square Enix
The Legend of Zelda: Oracle of Seasons,All Essences,The Legend of Zelda: Oracle of Seasons - All Essences,5837,2001,20,71,Game Boy Color,Action-adventure,,Capcom,Nintendo
The Legend of Zelda: Oracle of Seasons,Any%,The Legend of Zelda: Oracle of Seasons - Any%,2886,2001,20,8,Game Boy Color,Action-adventure,,Capcom,Nintendo
Bloody Wolf,Any%,Bloody Wolf - Any%,989,1988,33,4,Wii Virtual Console,,,,
Déjà Vu: A Nightmare Comes True,Any%,Déjà Vu: A Nightmare Comes True - Any%,759,1990,31,6,Nintendo Entertainment System,,,,
Déjà Vu: A Nightmare Comes True,Any% Glitchless,Déjà Vu: A Nightmare Comes True - Any% Glitchless,819,1990,31,10,Nintendo Entertainment System,,,,
Rod Land,Any%,Rod Land - Any%,777,1990,31,2,Arcade,,,,
Demon Sword,Any% (USA),Demon Sword - Any% (USA),615,1990,31,11,Nintendo Entertainment System,,,,
The Rocketeer,Any%,The Rocketeer - Any%,1075,1991,30,2,Nintendo Entertainment System,,,,
Puzznic (PS),Any%,Puzznic (PS) - Any%,1799,2001,20,1,PlayStation 2,Puzzle,,Altron Corporation,Mud Duck Productions
Super Fantasy Zone,Any% Easy,Super Fantasy Zone - Any% Easy,448,1992,29,10,Wii Virtual Console,Cute 'em Up,,Sunsoft,SEGA
