game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher
Chameleon Twist,100% (US),Chameleon Twist - 100% (US),1950,1997,24,7,Nintendo 64,3D Platformer,,Japan System Supply,Sunsoft
Chameleon Twist,100% (JP),Chameleon Twist - 100% (JP),2424,1997,24,3,Nintendo 64,3D Platformer,,Japan System Supply,Sunsoft
Chameleon Twist,Perfect Code,Chameleon Twist - Perfect Code,680,1997,24,6,Nintendo 64,3D Platformer,,Japan System Supply,Sunsoft
Bebe's Kids,Any%,Bebe's Kids - Any%,540,1994,27,3,Super Nintendo,Beat 'em up,,Radical Entertainment,Paramount Interactive
Beavis and Butt-Head (GB),Any%,Beavis and Butt-Head (GB) - Any%,1387.94,1998,23,5,Game Boy Color,Action,,Torus Games,GT Interactive Software
Zelda II: The Adventure of Link,"100% All Keys, 1CC","Zelda II: The Adventure of Link - 100% All Keys, 1CC",4426.055,1987,34,182,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo
Zelda II: The Adventure of Link,Any% Deathless,Zelda II: The Adventure of Link - Any% Deathless,3456.059,1987,34,7,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo
Zelda II: The Adventure of Link,100% Deathless,Zelda II: The Adventure of Link - 100% Deathless,4006,1987,34,10,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo
Zelda II: The Adventure of Link,Any% NMG,Zelda II: The Adventure of Link - Any% NMG,2940.316,1987,34,26,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo
Zelda II: The Adventure of Link,100% NMG,Zelda II: The Adventure of Link - 100% NMG,3716.341,1987,34,38,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo
Zelda II: The Adventure of Link,Any%,Zelda II: The Adventure of Link - Any%,998,1987,34,24,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo
Zelda II: The Adventure of Link,100%,Zelda II: The Adventure of Link - 100%,3091.316,1987,34,15,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo
Zelda II: The Adventure of Link,New Game+,Zelda II: The Adventure of Link - New Game+,569.3,1987,34,16,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo
Zelda II: The Adventure of Link,New Game+ NMG,Zelda II: The Adventure of Link - New Game+ NMG,2112.767,1987,34,43,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo
Zelda II: The Adventure of Link,Any% No Door Fairying,Zelda II: The Adventure of Link - Any% No Door Fairying,4000.379,1987,34,7,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo
Zelda II: The Adventure of Link,Any% No Scroll Lock,Zelda II: The Adventure of Link - Any% No Scroll Lock,2495.75,1987,34,9,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo
Zelda II: The Adventure of Link,Reverse Boss Order,Zelda II: The Adventure of Link - Reverse Boss Order,2849.6,1987,34,7,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo
Super Cobra (Atari 8 bit),100%,Super Cobra (Atari 8 bit) - 100%,775,1983,38,1,Atari 8-bit family (400/800/XL/XE),,,,
Lethal Enforcers,Easy (Gun),Lethal Enforcers - Easy (Gun),2243.042,1992,29,1,Super Nintendo,On-rails Shooter,,Konami,Konami
Lethal Enforcers,Easy (Cntlr),Lethal Enforcers - Easy (Cntlr),2243.042,1992,29,0,Super Nintendo,On-rails Shooter,,Konami,Konami
Lethal Enforcers,Normal (Gun),Lethal Enforcers - Normal (Gun),2348.002,1992,29,1,Super Nintendo,On-rails Shooter,,Konami,Konami
Lethal Enforcers,Normal (Cntlr),Lethal Enforcers - Normal (Cntlr),2348.002,1992,29,0,Super Nintendo,On-rails Shooter,,Konami,Konami
