,game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher,TAS_time,emulator,time_difference,%_of_difference
370,Wario Land II,100%,Wario Land II - 100%,8774.0,1999,22,4,Game Boy Color,,,,,6696.1,,2077.8999999999996,23.6824709368589
371,Finding Nemo,Any%,Finding Nemo - Any%,3585,2003,18,5,GameCube,,,,,1067.83,,2517.17,70.2139470013947
372,Metal Max,Any%,Metal Max - Any%,2674,1991,30,2,Nintendo Entertainment System,,,,,1456.57,,1217.43,45.5284218399402
373,Yoshi's Safari,Any%,Yoshi's Safari - Any%,2219.0,1993,28,11,Super Nintendo,,,,,1902.12,,316.8800000000001,14.2803064443443
374,Croc 2,Any%,Croc 2 - Any%,1139,1999,22,10,Game Boy Color,Platformer,,Argonaut Software,Fox Interactive,1104,,2604,70.2265372168285
375,Sweet Home,Any%,Sweet Home - Any%,3656,1989,32,3,Nintendo Entertainment System,,,,,2405.09,,1250.91,34.2152625820569
376,Bomberman 64,100%,Bomberman 64 - 100%,5049,1997,24,5,Nintendo 64,,,,,3696.02,Mupen64,1352.98,26.7969895028719
377,Driar,Any%,Driar - Any%,357.0,2012,9,5,Nintendo Entertainment System,,,,,314.45,,42.55000000000001,11.9187675070028
378,Goemon's Great Adventure,Any%,Goemon's Great Adventure - Any%,5101.0,1998,23,4,Nintendo 64,Platformer,,Konami Computer Entertainment Osaka,Konami,4541.28,,559.7200000000003,10.97275044109
379,Mega Man Battle Network 2,Any%,Mega Man Battle Network 2 - Any%,7699.0,2001,20,4,Game Boy Advance,RPG,,Capcom,Capcom,5915.28,,1783.7200000000003,23.1682036628134
380,Spelunker,Any%,Spelunker - Any%,520,1985,36,1,Arcade,,,,,268.57,FCEUX,251.43,48.3519230769231
381,Futari wa Precure Max Heart: Maji? Maji!? Fight de IN Janai,Any%,Futari wa Precure Max Heart: Maji? Maji!? Fight de IN Janai - Any%,2472.0,2005,16,3,Game Boy Advance,,,,,1909.59,,562.4100000000001,22.751213592233
382,Congo's Caper,Any%,Congo's Caper - Any%,1254.0,1993,28,6,Super Nintendo,Platform,,Data East,Data East,1177.66,,76.33999999999992,6.08771929824561
383,Timecop,Any%,Timecop - Any%,1212.0,1995,26,4,Super Nintendo,,,,,1148.46,,63.539999999999964,5.24257425742574
384,Wardner,Any%,Wardner - Any%,556.0,1990,31,3,Nintendo Entertainment System,Platformer,,Toaplan,Taito,528.82,,27.17999999999995,4.88848920863309
385,Death Duel,Any%,Death Duel - Any%,870,1992,29,1,Sega Genesis,,,,,504.73,,365.27,41.9850574712644
386,Majou Densetsu II: Daimashikyou Galious,Any%,Majou Densetsu II: Daimashikyou Galious - Any%,3432,1987,34,1,Nintendo Entertainment System,,,,,1121.63,,2310.37,67.3184731934732
387,Heavy Shreddin',Any%,Heavy Shreddin' - Any%,1075.0,1990,31,1,Nintendo Entertainment System,,,,,1054.95,,20.049999999999955,1.86511627906976
388,Golgo 13: Top Secret Episode,Any%,Golgo 13: Top Secret Episode - Any%,3029.0,1988,33,2,Nintendo Entertainment System,,,,,2680.04,,348.96000000000004,11.5206338725652
389,Pandemonium!,Any%,Pandemonium! - Any%,2127.0,1996,25,4,Sega Saturn,,,,,2043.33,,83.67000000000007,3.93370944992948
390,Ninja Crusaders,Any%,Ninja Crusaders - Any%,284.969,1990,31,34,Nintendo Entertainment System,,,,,248.45,,36.519000000000005,12.8150781313055
391,Uninvited,Any%,Uninvited - Any%,650.68,1989,32,21,Nintendo Entertainment System,,,,,489.78,,160.89999999999998,24.7279768857196
392,Lethal Weapon,Any%,Lethal Weapon - Any%,1672,1993,28,3,Nintendo Entertainment System,Action,,Eurocom,Ocean Software,1158.27,snes9x,513.73,30.7254784688995
393,Astyanax,Any%,Astyanax - Any%,950.0,1989,32,19,Nintendo Entertainment System,,,,,909.04,,40.960000000000036,4.31157894736842
394,Super Mario Land,Any%,Super Mario Land - Any%,744.467,1989,32,135,Nintendo 3DS Virtual Console,,,,,728.75,,15.716999999999985,2.11117484052349
395,Clash at Demonhead,Any%,Clash at Demonhead - Any%,1208.0,1989,32,3,Nintendo Entertainment System,Action,,Vic Tokai,Vic Tokai,1089.22,FCEUX,118.77999999999997,9.83278145695364
396,Batman Forever,Any%,Batman Forever - Any%,1522,1995,26,6,Super Nintendo,Beat 'em up,,Probe Entertainment,Acclaim,927.02,,594.98,39.0919842312746
397,Gradius,Any%,Gradius - Any%,664.833,1986,35,14,Nintendo Entertainment System,,,,,652.35,FCEU,12.482999999999947,1.87761437834764
398,Croc: Legend of the Gobbos,100%,Croc: Legend of the Gobbos - 100%,4805.0,1997,24,11,Sega Saturn,,,,,4715.43,PCSX,89.56999999999971,1.86409989594172
399,Einhänder,Any%,Einhänder - Any%,1979.0,1997,24,2,PlayStation 2,Shoot 'em up,,Squaresoft,Square,1889.93,,89.06999999999994,4.50075795856493
400,Sonic Colors,Any%,Sonic Colors - Any%,1795,2010,11,7,Wii,Action,PhysX,Sonic Team,SEGA,1597.8,DeSmuME,1758.2,52.3897497020262
